Time,Temperature Sensor 1 (°F),Rate of Change Sensor 1 (°F/h),Temperature Sensor 2 (°F),Rate of Change Sensor 2 (°F/h),Average Temperature (°F),Moving Average Rate of Change Sensor 1 (°F/h),Moving Average Rate of Change Sensor 2 (°F/h),Average Rate of Change (°F/h)
2024-11-04 17:32:59.615596-05:00,924.940625,-324.00000000003274,1003.690625,-243.00000000006546,964.315625,-251.60625000000164,-234.90000000000327,-283.5000000000491
2024-11-04 17:33:05.590601-05:00,924.7296875,-151.875,1003.38125,-222.7499999999509,964.05546875,-259.20000000000164,-239.96249999999918,-187.31249999997544
2024-11-04 17:33:11.575108-05:00,924.63125,-70.87499999995089,1002.8328125,-394.87499999998363,963.7320312500001,-254.64374999999836,-254.64374999999836,-232.87499999996726
2024-11-04 17:33:17.557151-05:00,924.575,-40.49999999998363,1002.4953125,-243.00000000006546,963.53515625,-246.03749999999673,-260.2125000000033,-141.75000000002456
2024-11-04 17:33:23.542729-05:00,924.35,-162.00000000001637,1002.14375,-253.125,963.246875,-228.82499999999754,-263.7562500000008,-207.56250000000819
2024-11-04 17:33:29.534391-05:00,924.0546875,-212.62500000001637,1001.834375,-222.7499999999509,962.94453125,-232.875,-259.19999999999754,-217.68749999998363
2024-11-04 17:33:35.631618-05:00,924.040625,-10.125000000016371,1001.7921875,-30.375000000049113,962.9164062499999,-220.72500000000082,-253.63125000000082,-20.250000000032742
2024-11-04 17:33:41.616946-05:00,924.040625,0.0,1001.69375,-70.87499999995089,962.8671875,-208.57500000000164,-235.40625,-35.437499999975444
2024-11-04 17:33:47.598823-05:00,923.703125,-242.99999999998363,1001.384375,-222.75000000003274,962.54375,-200.98125000000164,-233.38125000000082,-232.87500000000819
2024-11-04 17:33:53.606281-05:00,923.421875,-202.5,1001.35625,-20.249999999950887,962.3890625,-204.01874999999836,-212.625,-111.37499999997544
2024-11-04 17:33:59.619947-05:00,922.9859375,-313.87500000001637,1000.9484375,-293.6250000000655,961.9671874999999,-205.03125,-210.09375,-303.7500000000409
2024-11-04 17:34:05.630386-05:00,922.690625,-212.62500000001637,1000.653125,-212.62499999993452,961.671875,-185.79375000000164,-206.54999999999836,-212.62499999997544
2024-11-04 17:34:11.634763-05:00,922.15625,-384.74999999996726,1000.34375,-222.75000000003274,961.25,-195.41250000000082,-206.04375000000164,-303.75
2024-11-04 17:34:17.654978-05:00,921.509375,-465.75000000001637,1000.00625,-242.99999999998363,960.7578125,-201.48750000000246,-207.5625,-354.375
2024-11-04 17:34:23.676276-05:00,920.975,-384.74999999996726,999.5703125,-313.87500000001637,960.27265625,-212.625,-208.06875000000082,-349.3124999999918
2024-11-04 17:34:29.703456-05:00,920.665625,-222.75000000003274,999.2609375,-222.75000000003274,959.9632812499999,-213.13125000000082,-213.63750000000164,-222.75000000003274
